Instruction at 0x401c6e in routine: test_floating_point_operations | movq rax, xmm4 | Category: DATAXFER
Instruction at 0x401c73 in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401c77 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401c7c in routine: test_floating_point_operations | mov edi, 0x4036c0 | Category: DATAXFER
Instruction at 0x401c81 in routine: test_floating_point_operations | mov eax, 0x2 | Category: DATAXFER
Instruction at 0x401c86 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401c8b in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401c8f in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401c94 in routine: test_floating_point_operations | call 0x4010c0 | Category: CALL
Instruction at 0x401c99 in routine: test_floating_point_operations | movq rdx, xmm0 | Category: DATAXFER
Instruction at 0x401c9e in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401ca2 in routine: test_floating_point_operations | movq xmm1, rdx | Category: DATAXFER
Instruction at 0x401ca7 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401cac in routine: test_floating_point_operations | mov edi, 0x4036e0 | Category: DATAXFER
Instruction at 0x401cb1 in routine: test_floating_point_operations | mov eax, 0x2 | Category: DATAXFER
Instruction at 0x401cb6 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401cbb in routine: test_floating_point_operations | mov eax, dword ptr [rbp-0x4] | Category: DATAXFER
Instruction at 0x401cbe in routine: test_floating_point_operations | movd xmm0, eax | Category: DATAXFER
Instruction at 0x401cc2 in routine: test_floating_point_operations | call 0x4010b0 | Category: CALL
Instruction at 0x401cc7 in routine: test_floating_point_operations | cvtss2sd xmm0, xmm0 | Category: CONVERT
Instruction at 0x401ccb in routine: test_floating_point_operations | pxor xmm5, xmm5 | Category: LOGICAL
Instruction at 0x401ccf in routine: test_floating_point_operations | cvtss2sd xmm5, dword ptr [rbp-0x4] | Category: CONVERT
Instruction at 0x401cd4 in routine: test_floating_point_operations | movq rax, xmm5 | Category: DATAXFER
Instruction at 0x401cd9 in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401cdd in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401ce2 in routine: test_floating_point_operations | mov edi, 0x403700 | Category: DATAXFER
Instruction at 0x401ce7 in routine: test_floating_point_operations | mov eax, 0x2 | Category: DATAXFER
Instruction at 0x401cec in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401cf1 in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401cf5 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401cfa in routine: test_floating_point_operations | call 0x4011d0 | Category: CALL
Instruction at 0x401cff in routine: test_floating_point_operations | movq rdx, xmm0 | Category: DATAXFER
Instruction at 0x401d04 in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401d08 in routine: test_floating_point_operations | movq xmm1, rdx | Category: DATAXFER
Instruction at 0x401d0d in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401d12 in routine: test_floating_point_operations | mov edi, 0x403720 | Category: DATAXFER
Instruction at 0x401d17 in routine: test_floating_point_operations | mov eax, 0x2 | Category: DATAXFER
Instruction at 0x401d1c in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401d21 in routine: test_floating_point_operations | mov eax, dword ptr [rbp-0x4] | Category: DATAXFER
Instruction at 0x401d24 in routine: test_floating_point_operations | movd xmm0, eax | Category: DATAXFER
Instruction at 0x401d28 in routine: test_floating_point_operations | call 0x401030 | Category: CALL
Instruction at 0x401d2d in routine: test_floating_point_operations | cvtss2sd xmm0, xmm0 | Category: CONVERT
Instruction at 0x401d31 in routine: test_floating_point_operations | pxor xmm6, xmm6 | Category: LOGICAL
Instruction at 0x401d35 in routine: test_floating_point_operations | cvtss2sd xmm6, dword ptr [rbp-0x4] | Category: CONVERT
Instruction at 0x401d3a in routine: test_floating_point_operations | movq rax, xmm6 | Category: DATAXFER
Instruction at 0x401d3f in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401d43 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401d48 in routine: test_floating_point_operations | mov edi, 0x403740 | Category: DATAXFER
Instruction at 0x401d4d in routine: test_floating_point_operations | mov eax, 0x2 | Category: DATAXFER
Instruction at 0x401d52 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401d57 in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401d5b in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401d60 in routine: test_floating_point_operations | call 0x4010e0 | Category: CALL
Instruction at 0x401d65 in routine: test_floating_point_operations | movq rdx, xmm0 | Category: DATAXFER
Instruction at 0x401d6a in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401d6e in routine: test_floating_point_operations | movq xmm1, rdx | Category: DATAXFER
Instruction at 0x401d73 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401d78 in routine: test_floating_point_operations | mov edi, 0x403760 | Category: DATAXFER
Instruction at 0x401d7d in routine: test_floating_point_operations | mov eax, 0x2 | Category: DATAXFER
Instruction at 0x401d82 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401d87 in routine: test_floating_point_operations | mov eax, dword ptr [rbp-0x4] | Category: DATAXFER
Instruction at 0x401d8a in routine: test_floating_point_operations | movd xmm0, eax | Category: DATAXFER
Instruction at 0x401d8e in routine: test_floating_point_operations | call 0x401120 | Category: CALL
Instruction at 0x401d93 in routine: test_floating_point_operations | cvtss2sd xmm0, xmm0 | Category: CONVERT
